リソースID	タスクID	リソース名	種類	必要ツール	導入方式	URL	ソース・参照	補足	表示順
RES-PW-COIN-TM	TASK-PW-COIN	PW Prize Coin Batch	Tampermonkey	Tampermonkey / PokerWeb / TSV	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-prize-coin-batch.user.js	tampermonkey/pw-prize-coin-batch.user.js	未払いPrizeを照合してPW Coinをリクエストする。	1
RES-RECEIPT-MANUAL-TM	TASK-RECEIPT-MANUAL	PW 領収書 Manual Check	Tampermonkey	Tampermonkey / PokerWeb	クリックしてインストール	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/tampermonkey/pw-receipt-manual-check.user.js	tampermonkey/pw-receipt-manual-check.user.js	申請単位で支払情報を確認してTSVを出力する。	1
RES-RECEIPT-RSE-GS	TASK-RECEIPT-MANUAL	領収書発行・管理GS	Google Apps Script	Google Form / Google Sheets / Google Apps Script / Gmail / Drive	AIマニュアルで導入	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/apps-script/ReceiptSemiAutoExperimental.gs	apps-script/ReceiptSemiAutoExperimental.gs	申請照合、番号、PDF、メールを管理する。	2
RES-RECEIPT-TEMPLATE	TASK-RECEIPT-MANUAL	Google Sheet参考例	Google Sheet	Google Sheets	参考例を開く	https://docs.google.com/spreadsheets/d/1TOWDDSwA6tyiAmgK14VOssxsn3cbRbLpFrb3qBxdK14/edit?gid=1000165875#gid=1000165875	正式使用版	現在の正式使用版。コピーして使う場合は、表頭・Sheet構成・Apps Scriptを残し、既存大会の回答・処理データを空にする。	3
RES-PRE-RESERVATION-GS	TASK-PRE-RESERVATION-MAIL	事前予約メール current	Google Apps Script	Google Form / Google Sheets / Google Apps Script / Gmail	AIマニュアルで導入		apps-script/pre-reservation/current/PreReservationMenus.gs / apps-script/pre-reservation/current/PreReservationTemplateExtractor.gs / apps-script/pre-reservation/current/PreReservationTemplateDrivenMailer.gs / apps-script/pre-reservation/current/PreReservationColorRules.gs	現在運用中の汎用・テンプレート方式。	1
RES-PRE-RESERVATION-TEMPLATE-3ON3	TASK-PRE-RESERVATION-MAIL	事前予約テンプレート（3on3）	Google Sheet	Google Form / Google Sheets / Gmail	ファイルごとコピー	https://docs.google.com/spreadsheets/d/1Iyfm0Y9lIeK0VH5gLO2srFLolW5ihzxVUKpUCIBMAcE/edit?gid=788200121#gid=788200121	フォームの回答 1 / LIVEPOCKET_GAME_ID / REPORT_PRE_RES_MAIL / PreReservationTemplateSource	3人チーム戦用。コピー時に対応Formもコピーされるため、新しいFormを別途作成しない。	2
RES-PRE-RESERVATION-TEMPLATE-2ON2	TASK-PRE-RESERVATION-MAIL	事前予約テンプレート（2on2 / Tag）	Google Sheet	Google Form / Google Sheets / Gmail	ファイルごとコピー	https://docs.google.com/spreadsheets/d/1sv1IvT8GNGM1Nhol7Fh7MDEX81qBj6FbnIyV5splh1o/edit?gid=1359156924#gid=1359156924	フォームの回答 3 / LIVEPOCKET_GAME_ID / REPORT_PRE_RES_MAIL / PreReservationTemplateSource	2人チーム戦・Tag用。コピー時に対応Formもコピーされるため、新しいFormを別途作成しない。	3
RES-PRE-RESERVATION-TEMPLATE-HEADSUP	TASK-PRE-RESERVATION-MAIL	事前予約テンプレート（Heads-up）	Google Sheet	Google Form / Google Sheets / Gmail	ファイルごとコピー	https://docs.google.com/spreadsheets/d/1fGO24N_qYNi_WVz5SiVwUYoqVHDc8P5KTEVIeuAnnKQ/edit?gid=327898353#gid=327898353	フォームの回答 1 / LIVEPOCKET_GAME_ID / REPORT_PRE_RES_MAIL / PreReservationTemplateSource	Heads-up用。コピー時に対応Formもコピーされるため、新しいFormを別途作成しない。	4
RES-MIX-KIOSK-APP	TASK-MIX-CONFIRMATION	MIXトーナメント確認APP	Web App	専用端末	Web Appを開く	https://script.google.com/macros/s/AKfycbx8HiDs4qrnRvqRI71xi4cEWZ4ixyfUOfmksmeDDITHDOPVqWrYoT96-w7T3BFSqI2n/exec	apps-script/entry-confirmation-kiosk/	同じブラウザで複数Googleアカウントへログインしない。	1
RES-MIX-KIOSK-GS	TASK-MIX-CONFIRMATION	MIXトーナメント確認Kiosk ソース	Google Apps Script	Google Sheets / Google Apps Script / Web App	AIマニュアルで導入		apps-script/entry-confirmation-kiosk/Code.gs / apps-script/entry-confirmation-kiosk/Index.html / apps-script/entry-confirmation-kiosk/appsscript.json	別のSheetへ展開する場合に使用する。	2
RES-BULK-MAIL-GS	TASK-BULK-MAIL	汎用Google Sheetメール送信	Google Apps Script	Google Sheets / Google Apps Script / Gmail	AIマニュアルで導入	https://raw.githubusercontent.com/shashasha-00000/jopt-pokerweb-tools/main/apps-script/GenericSheetMailer.gs	apps-script/GenericSheetMailer.gs	差し込み、添付、Gmail下書き、承認送信を行う。	1
RES-BULK-MAIL-SAMPLE	TASK-BULK-MAIL	Google Sheet参考例	Google Sheet	Google Sheets / Gmail	自分用にコピー	https://docs.google.com/spreadsheets/d/1wYbAfWXJ1HkMQgL3TeIRnkF24diUpLjunSTxlcyDCkk/edit?gid=0#gid=0	送信データ / メール本文	Shaの作成例。共同運用せず、各担当者が自分用のファイルをコピーして使用する。	2
RES-BYBIT-APP	TASK-BYBIT-DEPOSIT	Bybit 入金モニター	Web App	社内ログインアカウント	既存APPを開く		C:\Users\41512\Documents\GitHub\bybit-deposit-monitor	公開URLは管理画面から追記する。初回起動に時間がかかる場合がある。	1
RES-HENDON-FUKUOKA	TASK-HENDON-AI	JOPT 2026 Fukuoka #01_THM	Google Sheet	Google Sheets / AI	参考データを開く	https://docs.google.com/spreadsheets/d/1MSwt2EBU7WBlEvYt3_ofgEBh5qbj8HVzp8-11AQi06k/edit	2026 Fukuoka生成実績	新イベントでは元資料とテンプレート構造を再確認する。	1
RES-USDT-AI-MANUAL	TASK-USDT-AI	各大会USDT レート表	Google Sheet	Google Sheets / AI / Slack	参考例を開く	https://docs.google.com/spreadsheets/d/1WkZvEnAa5Vv666wdOxJ-wBgmipt1FC8A5g-KCVq3g9k/edit	Google Sheet参考例（正式運用版）	対象Sheetを1枚だけ複製して作業する。直接操作できないAIにはExcelの作業用コピーを渡す。	1
RES-TOURNAMENT-CUE-AI-MANUAL	TASK-TOURNAMENT-CUE-AI	新トナメカンペ	Google Sheet	Google Sheets / AI / Slack	参考例を開く	https://docs.google.com/spreadsheets/d/1aud8xDS7_WtWDooQPfH3sg8QFAjgPvjdb1dZnbb1eGk/edit	Google Sheet参考例（正式運用版）	対象Sheetを1枚だけ複製して作業する。直接操作できないAIにはExcelの作業用コピーを渡す。	1
RES-TREASURY-MANAGEMENT-AI-MANUAL	TASK-TREASURY-MANAGEMENT-AI	金庫管理	Google Sheet	Google Sheets / AI / Slack	参考例を開く	https://docs.google.com/spreadsheets/d/1ME4f4lGIXEMi-_EnxhFv7XMGwC-RBTV3DwmAOdaOULg/edit?gid=1612435257#gid=1612435257	Google Sheet参考例（現行運用版）	対象Sheetを1枚だけ複製して作業する。直接操作できないAIにはExcelの作業用コピーを渡す。	1
